registro	ano	mes	dia	tmed	urmed	vento	tmax	urmax	ventomax	tmin	urmin	chuva
2832	2004	10	2	18.13	100.00	0.49	21.65	100.00	4.70	15.67	84.50	7.30
2833	2004	10	3	17.49	100.00	0.85	18.16	100.00	6.20	16.80	94.10	8.60
2834	2004	10	4	20.24	78.80	1.47	27.25	100.00	6.95	14.34	44.95	0.00
2835	2004	10	5	20.40	75.90	1.32	28.08	100.00	7.70	14.22	36.81	0.00
2836	2004	10	6	17.97	75.10	3.01	24.39	98.90	12.20	13.22	40.39	0.00
2837	2004	10	7	16.88	68.32	3.12	24.57	98.90	9.20	9.64	34.68	0.00
2838	2004	10	8	19.13	56.36	1.85	28.35	94.50	7.70	9.91	17.40	0.00
2839	2004	10	9	22.23	58.01	0.69	33.54	100.00	5.45	10.91	15.98	0.00
2840	2004	10	10	22.57	68.71	2.37	33.57	100.00	12.95	15.85	32.71	19.40
2841	2004	10	11	22.20	88.70	0.59	27.96	100.00	6.20	17.49	63.14	0.30
2842	2004	10	12	22.81	87.50	1.07	27.91	100.00	6.20	18.78	63.07	1.50
2843	2004	10	13	23.29	90.40	1.48	29.41	100.00	13.70	19.90	60.74	20.10
2844	2004	10	14	22.56	94.80	1.03	26.91	100.00	6.95	19.54	72.80	2.90
2845	2004	10	15	20.42	99.60	1.31	22.24	100.00	7.70	19.13	88.20	8.10
2846	2004	10	16	24.96	83.50	1.33	32.02	100.00	8.45	19.02	53.26	11.40
2847	2004	10	17	20.86	93.10	0.83	23.60	100.00	18.95	16.54	74.30	15.80
2848	2004	10	18	22.60	88.70	0.55	28.28	100.00	4.70	18.66	60.67	0.00
2849	2004	10	19	21.04	91.70	2.13	26.78	100.00	9.95	16.32	69.81	10.50
2850	2004	10	20	18.49	80.60	3.09	24.62	99.50	11.45	14.85	54.64	0.00
2851	2004	10	21	20.23	75.30	2.99	27.17	92.60	9.95	14.56	52.07	0.00
2852	2004	10	22	22.25	79.20	0.91	29.11	99.60	6.95	15.60	53.06	0.00
2853	2004	10	23	21.61	91.10	0.84	26.75	100.00	8.45	18.08	63.50	1.80
2854	2004	10	24	21.60	94.20	0.84	25.90	100.00	8.45	19.10	75.10	1.80
2855	2004	10	25	20.76	100.00	1.10	24.41	100.00	12.95	19.28	83.60	39.50
2856	2004	10	26	22.14	88.80	0.78	27.36	100.00	6.95	18.20	63.50	0.00
2857	2004	10	27	20.65	86.10	1.57	27.17	100.00	12.95	15.93	51.00	0.00
2858	2004	10	28	18.59	76.60	2.40	25.51	97.10	9.20	13.50	49.73	0.00
2859	2004	10	29	21.10	77.80	1.21	30.44	100.00	7.70	11.58	47.15	0.00
2860	2004	10	30	24.11	74.70	0.62	33.03	100.00	4.70	15.60	39.69	0.00
2861	2004	10	31	25.54	71.10	1.58	32.70	100.00	9.95	18.61	35.87	0.00
2862	2004	11	1	22.62	84.80	1.65	28.52	100.00	8.45	18.61	61.19	0.00
2863	2004	11	2	23.67	83.10	0.71	30.58	100.00	6.20	17.99	55.68	0.00
2864	2004	11	3	26.01	74.90	1.10	33.03	100.00	8.45	18.30	43.32	0.00
2865	2004	11	4	23.91	85.50	0.98	28.25	100.00	11.45	19.91	66.65	4.90
2866	2004	11	5	23.67	89.60	0.85	27.10	100.00	9.20	20.23	72.30	0.30
2867	2004	11	6	23.82	86.60	1.15	29.30	100.00	10.70	20.46	50.52	0.20
2868	2004	11	7	19.46	83.70	3.34	22.53	96.50	9.95	16.89	69.97	0.00
2869	2004	11	8	21.13	76.70	2.95	27.64	95.80	9.20	15.59	54.09	0.00
2870	2004	11	9	23.90	73.00	1.22	32.07	98.30	8.45	16.19	39.29	0.00
2871	2004	11	10	24.27	79.20	1.28	32.62	100.00	10.70	17.18	43.39	0.00
2872	2004	11	11	21.02	99.00	1.57	23.52	100.00	12.20	19.40	78.00	13.70
2873	2004	11	12	21.28	71.40	2.52	26.67	100.00	12.20	16.62	34.34	0.20
2874	2004	11	13	20.66	71.60	1.48	27.65	100.00	9.95	13.40	38.30	0.00
2875	2004	11	14	21.85	74.10	1.79	29.17	97.80	9.20	14.84	45.15	0.00
2876	2004	11	15	21.14	91.40	0.75	28.67	100.00	7.70	16.16	60.20	39.50
2877	2004	11	16	21.01	100.00	0.45	23.19	100.00	6.20	18.92	89.00	10.20
2878	2004	11	17	21.73	99.90	0.72	26.76	100.00	8.45	19.95	75.90	10.60
2879	2004	11	18	22.48	95.90	0.78	28.66	100.00	6.20	20.09	64.76	2.00
2880	2004	11	19	22.37	92.10	0.97	26.60	100.00	6.95	19.44	67.39	0.30
2881	2004	11	20	21.67	79.10	1.89	28.15	99.20	9.20	16.52	47.70	0.00
2882	2004	11	21	20.43	72.70	2.25	27.62	100.00	10.70	13.94	41.19	0.00
2883	2004	11	22	21.05	74.00	1.36	29.63	97.30	8.45	13.66	40.50	0.00
2884	2004	11	23	23.31	70.90	1.19	31.47	100.00	8.45	15.44	34.79	0.00
2885	2004	11	24	24.43	65.89	0.90	32.25	100.00	5.45	15.93	32.44	0.00
2886	2004	11	25	25.59	59.17	0.78	33.57	100.00	6.95	16.64	22.97	0.00
2887	2004	11	26	26.39	62.86	0.79	33.74	98.30	7.70	18.20	31.30	0.00
2888	2004	11	27	26.33	70.70	1.17	32.41	95.90	9.20	21.13	43.85	0.00
2889	2004	11	28	22.63	94.60	1.10	28.57	100.00	9.95	20.18	63.50	22.60
2890	2004	11	29	22.21	87.20	1.80	27.68	100.00	9.95	18.12	58.26	1.00
2891	2004	11	30	21.83	75.40	1.87	28.41	98.40	9.20	16.30	42.53	0.00
2892	2004	12	1	22.24	76.50	1.96	29.75	100.00	9.20	15.90	43.19	0.00
2893	2004	12	2	22.76	76.20	2.19	28.97	91.40	8.45	18.46	49.50	0.00
2894	2004	12	3	21.10	93.20	0.62	25.02	100.00	5.45	19.03	77.60	0.00
2895	2004	12	4	24.14	84.80	1.06	30.92	100.00	9.95	18.82	55.64	6.10
2896	2004	12	5	24.32	84.50	0.72	31.28	100.00	9.20	20.11	53.66	3.00
2897	2004	12	6	24.52	83.30	1.22	32.13	100.00	10.70	20.25	42.04	0.00
2898	2004	12	7	24.31	85.40	0.98	29.86	100.00	5.45	20.27	53.60	0.00
2899	2004	12	8	24.07	86.80	1.45	30.55	100.00	12.20	19.76	54.88	5.50
2900	2004	12	9	22.14	94.80	1.00	28.00	100.00	15.95	19.40	67.19	7.00
2901	2004	12	10	21.77	89.50	1.10	26.07	100.00	9.20	18.67	68.00	0.00
2902	2004	12	11	20.88	81.90	2.37	26.20	100.00	9.95	16.53	56.44	0.00
2903	2004	12	12	20.91	79.90	1.56	27.88	100.00	7.70	14.99	46.36	0.00
2904	2004	12	13	22.27	68.69	1.11	29.27	100.00	7.70	15.21	32.25	0.00
2905	2004	12	14	23.62	63.57	1.44	31.45	100.00	9.20	15.10	27.88	0.00
2906	2004	12	15	23.95	77.70	0.70	32.49	97.90	6.20	16.58	45.27	0.20
2907	2004	12	16	24.34	82.70	0.98	32.57	100.00	8.45	18.69	50.05	0.00
2908	2004	12	17	24.47	82.10	1.01	30.83	100.00	10.70	19.92	53.26	0.10
2909	2004	12	18	23.31	90.90	0.85	30.19	100.00	9.20	19.42	62.67	2.30
2910	2004	12	19	24.00	91.30	0.73	29.04	100.00	6.95	20.72	66.12	0.00
2911	2004	12	20	24.79	85.60	0.84	31.35	100.00	8.45	20.03	53.33	12.90
2912	2004	12	21	20.55	97.70	2.07	23.31	100.00	7.70	18.49	81.90	23.90
2913	2004	12	22	18.48	93.70	3.50	21.90	100.00	9.95	16.54	74.80	5.50
2914	2004	12	23	20.20	91.80	1.47	24.75	100.00	8.45	16.32	72.80	3.00
2915	2004	12	24	22.26	87.30	1.17	28.85	100.00	6.95	18.28	54.36	0.00
2916	2004	12	25	23.87	84.70	0.77	31.25	100.00	6.20	17.19	51.66	0.90
2917	2004	12	26	21.44	99.10	0.68	26.45	100.00	8.45	18.70	73.20	30.90
2918	2004	12	27	21.97	93.00	0.44	27.57	100.00	4.70	18.47	65.18	0.10
2919	2004	12	28	24.33	78.90	1.13	30.34	100.00	9.20	19.10	39.43	0.00
2920	2004	12	29	24.57	76.40	1.15	32.05	100.00	8.45	17.01	38.09	0.00
2921	2004	12	30	25.53	74.00	0.71	33.00	100.00	6.95	17.74	39.56	0.00
2922	2004	12	31	25.65	79.00	0.82	32.26	100.00	6.95	19.35	47.48	0.00
2923	2005	1	1	25.34	76.40	0.88	32.92	100.00	12.95	19.83	40.36	7.40
2924	2005	1	2	24.13	82.90	0.86	31.72	100.00	7.70	19.22	50.24	0.30
2925	2005	1	3	22.40	92.80	0.63	30.06	100.00	6.95	18.30	58.24	9.60
2926	2005	1	4	21.12	100.00	0.48	24.66	100.00	6.20	19.35	84.80	30.70
2927	2005	1	5	22.97	96.50	1.05	27.53	100.00	9.20	20.16	75.40	6.80
2928	2005	1	6	24.30	92.50	0.81	28.76	100.00	6.20	21.11	73.00	10.60
2929	2005	1	7	25.14	89.90	0.97	31.89	100.00	6.95	21.13	55.27	4.30
2930	2005	1	8	25.56	88.50	0.98	32.10	100.00	7.70	20.84	54.61	2.80
2931	2005	1	9	24.76	91.60	0.75	30.07	100.00	6.20	21.03	66.50	30.40
2932	2005	1	10	25.67	88.50	1.25	31.03	100.00	7.70	22.00	61.75	0.00
2933	2005	1	11	23.26	100.00	0.68	27.04	100.00	8.45	21.68	84.50	28.00
2934	2005	1	12	23.93	89.30	2.36	28.99	100.00	10.70	19.71	66.66	0.00
2935	2005	1	13	23.81	82.20	1.30	30.07	100.00	7.70	17.79	54.96	0.00
2936	2005	1	14	24.55	79.30	1.21	32.64	100.00	6.95	17.82	48.63	0.00
2937	2005	1	15	26.30	81.90	1.00	33.26	100.00	7.70	19.48	51.11	0.00
2938	2005	1	16	25.30	88.20	1.08	30.42	100.00	9.20	22.37	66.77	0.00
2939	2005	1	17	23.73	90.40	1.30	27.18	100.00	6.20	20.59	77.30	0.70
2940	2005	1	18	24.19	94.60	0.67	29.46	100.00	7.70	21.20	69.61	0.90
2941	2005	1	19	22.85	100.00	0.55	25.14	100.00	5.45	20.63	93.40	19.00
2942	2005	1	20	23.17	100.00	1.12	25.52	100.00	7.70	21.39	87.30	10.30
2943	2005	1	21	24.22	95.20	1.11	29.58	100.00	6.95	21.62	69.41	6.20
2944	2005	1	22	23.73	96.40	0.76	29.51	100.00	7.70	20.91	73.40	4.30
2945	2005	1	23	24.38	92.70	0.66	31.31	100.00	6.95	19.91	60.72	0.00
2946	2005	1	24	24.73	94.40	0.45	30.19	100.00	21.20	21.19	65.78	10.30
2947	2005	1	25	23.61	98.10	1.37	29.11	100.00	10.70	19.93	74.80	27.90
2948	2005	1	26	19.74	94.70	2.90	22.39	100.00	10.70	17.32	78.90	3.10
2949	2005	1	27	19.41	96.60	2.03	21.36	100.00	9.20	17.40	90.90	4.90
2950	2005	1	28	21.34	99.10	0.50	24.59	100.00	4.70	18.68	89.20	1.50
2951	2005	1	29	21.63	100.00	0.51	24.16	100.00	4.70	20.25	94.30	12.20
2952	2005	1	30	22.85	90.80	1.04	27.38	100.00	7.70	19.44	45.70	2.10
2953	2005	1	31	23.93	75.30	2.11	31.44	100.00	9.95	17.57	46.60	0.00
2954	2005	2	1	23.48	83.10	2.32	30.09	100.00	9.20	19.11	54.76	3.60
2955	2005	2	2	23.62	85.80	1.64	30.35	100.00	8.45	19.79	55.35	0.00
2956	2005	2	3	23.78	89.40	1.89	29.88	100.00	9.20	20.57	62.56	23.90
2957	2005	2	4	24.22	86.10	1.84	30.06	100.00	9.95	19.77	62.29	0.00
2958	2005	2	5	23.06	81.10	2.13	29.38	97.10	9.20	18.92	53.22	0.00
2959	2005	2	6	22.25	77.20	2.61	29.02	100.00	8.45	17.48	48.38	0.00
2960	2005	2	7	21.43	70.90	2.28	28.97	100.00	9.95	14.39	33.93	0.00
2961	2005	2	8	21.91	69.52	1.65	29.28	99.80	11.45	15.00	34.94	0.00
2962	2005	2	9	22.33	70.80	0.96	29.69	100.00	8.45	14.51	37.43	0.00
2963	2005	2	10	23.40	68.32	0.54	30.89	98.10	8.45	16.79	33.06	0.00
2964	2005	2	11	23.89	72.60	0.84	30.95	100.00	7.70	16.57	38.84	0.00
2965	2005	2	12	24.15	77.90	1.66	31.34	100.00	9.20	17.85	40.31	3.60
2966	2005	2	13	23.17	80.90	0.69	29.50	100.00	9.95	17.06	48.92	0.00
2967	2005	2	14	23.90	76.30	1.04	29.87	100.00	8.45	18.49	46.77	0.00
2968	2005	2	15	23.09	77.40	0.87	29.91	100.00	6.20	16.48	45.96	0.00
2969	2005	2	16	24.20	74.30	0.58	31.68	100.00	6.20	16.72	39.17	0.00
2970	2005	2	17	24.85	76.10	0.48	34.06	100.00	14.45	17.68	35.26	3.50
2971	2005	2	18	25.54	79.60	0.62	33.32	100.00	9.20	18.60	44.39	0.10
2972	2005	2	19	25.30	81.50	0.82	32.12	100.00	9.20	20.08	54.27	0.10
2973	2005	2	20	24.79	76.90	1.43	31.87	100.00	9.20	18.69	40.64	0.00
2974	2005	2	21	23.91	71.10	1.01	30.81	100.00	7.70	16.95	37.90	0.00
2975	2005	2	22	24.75	71.50	0.42	33.32	100.00	6.20	16.95	32.98	0.00
2976	2005	2	23	26.93	67.00	0.54	34.67	100.00	6.95	19.03	31.43	0.00
2977	2005	2	24	26.24	75.70	0.66	35.40	100.00	10.70	20.38	35.46	0.00
2978	2005	2	25	25.32	84.10	0.48	33.38	100.00	12.95	20.38	49.90	26.60
2979	2005	2	26	24.12	91.60	0.68	29.26	100.00	6.95	20.27	66.72	0.80
2980	2005	2	27	23.64	95.20	1.05	29.09	100.00	7.70	20.97	71.00	3.70
2981	2005	2	28	24.95	87.00	0.48	31.68	100.00	6.20	19.77	53.60	0.40
2982	2005	3	1	24.70	82.40	1.89	31.38	100.00	10.70	20.00	47.70	0.00
2983	2005	3	2	22.65	81.20	2.38	28.65	97.00	9.20	18.15	54.96	0.00
2984	2005	3	3	20.66	83.70	1.79	25.07	98.50	8.45	17.56	66.21	0.00
2985	2005	3	4	21.87	81.30	1.26	28.95	100.00	9.95	16.04	51.20	0.00
2986	2005	3	5	21.68	80.00	1.75	29.14	100.00	8.45	15.40	46.50	0.00
2987	2005	3	6	22.56	78.90	1.01	30.03	100.00	8.45	16.02	46.16	0.00
2988	2005	3	7	24.04	77.00	0.61	32.49	100.00	7.70	16.03	39.83	0.00
2989	2005	3	8	25.97	75.00	0.78	33.20	100.00	6.20	18.82	39.70	0.00
2990	2005	3	9	26.44	76.50	0.43	33.99	100.00	6.95	20.40	39.09	0.00
2991	2005	3	10	26.00	73.90	0.39	34.03	99.30	4.70	18.99	39.69	0.00
2992	2005	3	11	27.07	73.00	0.64	35.07	100.00	6.95	20.40	40.56	0.00
2993	2005	3	12	23.71	91.00	0.54	29.11	100.00	8.45	20.26	73.80	0.20
2994	2005	3	13	26.59	77.60	0.84	33.99	100.00	8.45	18.85	44.14	0.10
2995	2005	3	14	24.54	94.20	0.82	30.85	100.00	7.70	21.29	67.33	6.40
2996	2005	3	15	23.33	99.40	0.68	29.31	100.00	6.95	21.14	75.90	18.00
2997	2005	3	16	22.47	99.20	0.60	26.59	100.00	7.70	19.93	82.30	32.10
2998	2005	3	17	23.05	97.10	0.40	28.31	100.00	6.95	20.03	76.40	10.90
2999	2005	3	18	24.38	90.90	0.95	30.37	100.00	6.20	20.71	60.40	0.00
3000	2005	3	19	24.06	87.50	0.94	31.35	100.00	7.70	18.49	53.47	0.00
3001	2005	3	20	22.98	94.90	0.56	30.59	100.00	9.20	19.74	59.72	1.10
3002	2005	3	21	22.72	97.70	0.45	26.68	100.00	5.45	19.95	78.00	1.10
3003	2005	3	22	22.75	99.60	0.48	28.42	100.00	3.95	20.48	71.80	13.60
3004	2005	3	23	23.99	95.00	0.59	29.41	100.00	6.20	20.53	66.25	2.50
3005	2005	3	24	21.78	100.00	0.53	26.09	100.00	4.70	20.35	85.60	25.10
3006	2005	3	25	21.99	91.00	2.10	27.16	100.00	8.45	18.28	67.34	0.00
3007	2005	3	26	21.39	85.80	1.53	27.71	100.00	7.70	16.40	62.62	0.00
3008	2005	3	27	22.10	86.10	0.87	29.04	100.00	8.45	15.81	51.53	0.00
3009	2005	3	28	22.97	83.50	1.02	30.22	100.00	8.45	17.33	49.44	0.00
3010	2005	3	29	23.68	83.00	0.45	31.60	100.00	7.70	17.10	44.40	0.80
3011	2005	3	30	24.58	79.40	0.68	32.16	100.00	8.45	17.95	41.31	0.10
3012	2005	3	31	24.43	82.30	0.43	30.75	100.00	7.70	18.71	51.39	0.00
3013	2005	4	1	25.11	81.80	0.44	31.92	100.00	6.20	19.47	47.01	0.00
3014	2005	4	2	25.39	83.20	0.79	32.06	100.00	8.45	18.82	52.19	0.00
3015	2005	4	3	24.75	90.00	0.53	31.65	100.00	6.20	20.25	59.24	8.90
3016	2005	4	4	23.94	95.70	0.50	31.42	100.00	9.20	20.85	61.38	13.40
3017	2005	4	5	23.47	92.10	0.94	29.82	100.00	7.70	20.02	67.73	0.00
3018	2005	4	6	25.23	86.10	0.34	31.97	100.00	5.45	19.31	55.95	0.00
3019	2005	4	7	25.63	87.60	0.37	31.85	100.00	5.45	20.19	59.91	0.00
3020	2005	4	8	25.97	83.60	0.59	32.88	100.00	6.95	19.96	49.16	0.00
3021	2005	4	9	25.70	83.80	0.66	32.51	100.00	8.45	20.53	53.12	0.00
3022	2005	4	10	25.43	83.50	0.29	32.39	100.00	5.45	19.67	50.84	0.00
3023	2005	4	11	25.16	78.60	0.38	32.39	100.00	5.45	19.54	41.30	0.00
3024	2005	4	12	24.62	78.90	0.42	32.07	100.00	5.45	17.55	42.18	0.00
3025	2005	4	13	24.90	80.40	1.76	30.67	98.20	6.95	20.22	55.83	0.00
3026	2005	4	14	24.46	80.70	0.32	31.96	100.00	6.20	18.10	42.71	0.00
3027	2005	4	15	24.52	80.30	0.42	32.38	100.00	5.45	17.31	43.33	0.00
3028	2005	4	16	24.43	81.80	0.49	31.38	100.00	5.45	18.24	45.47	0.00
3029	2005	4	17	24.46	84.80	0.75	31.25	100.00	6.20	19.26	54.13	0.00
3030	2005	4	18	22.66	83.90	0.25	29.41	100.00	3.20	17.44	50.87	0.00
3031	2005	4	19	22.26	79.10	0.29	31.36	100.00	3.95	15.78	33.31	0.00
3032	2005	4	20	22.64	81.40	0.35	31.18	100.00	6.20	14.70	48.49	0.00
3033	2005	4	21	22.92	86.20	0.73	29.11	100.00	6.95	18.57	58.31	0.00
3034	2005	4	22	22.49	81.80	1.11	28.64	100.00	6.95	17.27	55.68	0.00
3035	2005	4	23	21.22	85.60	0.77	29.08	100.00	7.70	16.51	41.46	0.00
3036	2005	4	24	21.13	83.60	0.43	29.98	100.00	3.95	13.96	44.47	0.00
3037	2005	4	25	20.59	97.00	1.08	24.37	100.00	7.70	17.92	83.60	4.40
3038	2005	4	26	18.47	87.70	2.46	21.47	100.00	9.20	15.19	72.30	0.00
3039	2005	4	27	18.22	82.50	1.87	24.52	100.00	7.70	13.50	54.17	0.00
3040	2005	4	28	16.89	98.80	0.59	20.37	100.00	4.70	14.37	83.70	2.80
3041	2005	4	29	19.14	95.60	0.53	25.94	100.00	4.70	14.54	60.74	1.10
3042	2005	4	30	19.00	87.00	2.01	24.05	100.00	6.20	15.04	60.16	0.10
3043	2005	5	1	17.93	81.00	2.82	24.58	100.00	10.70	13.22	51.42	0.00
3044	2005	5	2	20.98	82.40	0.77	27.58	100.00	5.45	15.65	51.27	0.00
3045	2005	5	3	20.21	88.30	0.62	27.65	100.00	3.95	16.21	51.54	0.00
3046	2005	5	4	21.00	78.50	0.89	30.82	100.00	4.70	13.27	27.94	0.10
3047	2005	5	5	21.20	74.80	0.93	30.85	100.00	4.70	12.71	32.85	0.00
3048	2005	5	6	22.16	77.40	0.95	30.54	100.00	6.95	14.27	42.31	0.00
3049	2005	5	7	21.94	78.90	0.97	30.31	100.00	7.70	14.83	39.83	0.00
3050	2005	5	8	21.50	76.60	0.93	29.99	100.00	5.45	13.79	37.68	0.00
3051	2005	5	9	20.98	82.40	0.77	27.58	100.00	5.45	15.65	51.27	0.00
3052	2005	5	10	20.21	88.30	0.62	27.65	100.00	3.95	16.21	51.54	0.00
3053	2005	5	11	21.00	78.50	0.89	30.82	100.00	4.70	13.27	27.94	0.10
3054	2005	5	12	21.20	74.80	0.93	30.85	100.00	4.70	12.71	32.85	0.00
3055	2005	5	13	22.16	77.40	0.95	30.54	100.00	6.95	14.27	42.31	0.00
3056	2005	5	14	21.94	78.90	0.97	30.31	100.00	7.70	14.83	39.83	0.00
3057	2005	5	15	21.50	76.60	0.93	29.99	100.00	5.45	13.79	37.68	0.00
3058	2005	5	16	21.32	76.10	0.97	30.48	100.00	6.20	13.01	36.34	0.00
3059	2005	5	17	22.45	73.30	0.93	30.33	99.50	4.70	15.42	39.24	0.00
3060	2005	5	18	23.02	74.60	0.90	31.02	100.00	6.20	15.95	39.97	0.00
3061	2005	5	19	22.92	73.70	1.18	31.82	100.00	5.45	15.49	35.33	0.00
3062	2005	5	20	23.03	72.00	1.37	31.88	100.00	6.20	15.22	37.55	0.00
3063	2005	5	21	21.72	79.80	1.60	28.20	100.00	9.95	17.42	46.92	4.20
3064	2005	5	22	17.55	96.60	0.97	19.65	100.00	6.95	15.21	83.00	8.40
3065	2005	5	23	19.57	90.10	0.73	24.94	100.00	4.70	15.56	65.93	0.00
3066	2005	5	24	20.12	100.00	1.02	22.79	100.00	9.95	18.10	94.70	139.10
3067	2005	5	25	18.74	100.00	0.94	22.08	100.00	12.20	16.99	85.10	7.50
3068	2005	5	26	18.79	83.40	1.16	24.44	100.00	7.70	14.38	45.15	0.00
3069	2005	5	27	17.52	85.80	0.84	24.96	100.00	6.20	10.40	50.80	0.00
3070	2005	5	28	17.82	86.00	0.79	26.26	100.00	4.70	10.89	48.38	0.00
3071	2005	5	29	18.99	85.70	0.99	27.15	100.00	6.20	11.05	53.69	0.00
3072	2005	5	30	18.29	100.00	0.53	23.03	100.00	3.20	15.33	85.00	0.00
3073	2005	5	31	19.87	89.40	0.57	27.99	100.00	7.70	14.16	54.90	0.00
3074	2005	6	1	19.24	92.40	0.61	24.60	100.00	4.70	14.20	66.48	0.00
3075	2005	6	2	20.80	87.30	0.69	27.27	100.00	4.70	16.29	56.71	0.00
3076	2005	6	3	20.31	83.90	0.83	27.56	100.00	4.70	13.65	49.91	0.00
3077	2005	6	4	20.17	85.00	0.77	27.53	100.00	4.70	13.33	51.40	0.00
3078	2005	6	5	19.56	84.90	0.75	26.77	100.00	3.95	13.56	49.99	0.00
3079	2005	6	6	18.68	86.50	0.62	26.38	100.00	4.70	13.94	50.66	0.10
3080	2005	6	7	18.12	85.60	0.61	26.54	100.00	3.95	11.07	44.68	0.00
3081	2005	6	8	18.96	83.20	0.83	27.58	100.00	3.95	12.26	40.31	0.10
3082	2005	6	9	19.28	80.50	0.74	27.28	100.00	3.95	12.34	40.85	0.00
3083	2005	6	10	19.67	79.30	0.86	26.82	100.00	5.45	13.40	40.79	0.00
3084	2005	6	11	19.15	80.60	0.84	27.68	100.00	5.45	12.24	37.63	0.00
3085	2005	6	12	19.20	80.30	0.98	28.04	100.00	5.45	12.31	36.75	0.00
3086	2005	6	13	19.08	80.30	1.28	27.58	100.00	7.70	11.81	43.27	0.00
3087	2005	6	14	20.19	78.70	0.94	28.57	100.00	3.95	12.25	40.71	0.00
3088	2005	6	15	19.85	76.50	1.08	28.46	100.00	4.70	12.74	34.40	0.00
3089	2005	6	16	18.91	82.50	0.73	27.55	100.00	4.70	11.52	38.97	0.00
3090	2005	6	17	19.67	81.40	1.06	28.38	100.00	4.70	11.92	45.43	0.00
3091	2005	6	18	18.27	88.30	1.67	23.88	100.00	7.70	13.45	63.45	0.20
3092	2005	6	19	18.71	93.10	0.84	24.47	100.00	6.95	14.93	69.90	0.10
3093	2005	6	20	17.49	100.00	0.80	20.48	100.00	10.70	15.64	87.50	18.00
3094	2005	6	21	16.70	94.70	2.38	18.72	100.00	7.70	14.57	80.00	4.20
3095	2005	6	22	17.11	84.90	2.28	22.24	98.90	7.70	13.84	63.53	0.00
3096	2005	6	23	17.51	86.60	0.62	24.59	100.00	3.95	11.55	56.24	0.00
3097	2005	6	24	17.09	88.40	1.01	24.74	100.00	5.45	10.94	48.71	0.00
3098	2005	6	25	16.55	87.70	0.63	24.98	100.00	3.20	9.81	48.25	0.00
3099	2005	6	26	16.42	86.30	0.98	25.01	100.00	5.45	8.85	44.50	0.10
3100	2005	6	27	16.86	83.00	1.08	25.65	100.00	5.45	9.87	41.20	0.00
3101	2005	6	28	16.48	100.00	1.03	20.47	100.00	5.45	13.39	92.00	6.90
3102	2005	6	29	20.93	91.00	1.09	27.32	100.00	6.20	15.65	62.02	12.40
3103	2005	6	30	22.26	86.10	0.70	28.63	100.00	4.70	17.27	47.96	0.10
3104	2005	7	1	20.85	81.10	0.82	27.22	100.00	5.45	15.46	46.15	0.00
3105	2005	7	2	19.86	83.20	1.33	28.34	100.00	7.70	13.28	42.80	0.00
3106	2005	7	3	20.07	74.80	1.21	28.45	100.00	6.95	13.12	32.72	0.00
3107	2005	7	4	19.34	76.60	1.17	27.47	100.00	5.45	12.24	38.64	0.00
3108	2005	7	5	17.90	89.70	1.65	23.64	100.00	6.95	12.77	63.52	0.00
3109	2005	7	6	17.72	88.50	2.17	21.04	99.70	7.70	13.98	75.40	0.00
3110	2005	7	7	14.05	82.10	3.21	17.40	96.80	10.70	11.82	59.37	0.00
3111	2005	7	8	15.18	81.40	2.98	21.01	100.00	9.95	10.90	55.39	0.00
3112	2005	7	9	15.20	74.30	2.14	21.64	98.50	7.70	9.69	34.01	0.00
3113	2005	7	10	15.36	81.80	1.33	22.09	100.00	5.45	7.97	48.67	0.00
3114	2005	7	11	17.12	84.60	0.66	23.94	100.00	4.70	10.63	55.79	0.00
3115	2005	7	12	18.08	78.70	0.93	25.65	100.00	6.95	10.74	43.47	0.00
3116	2005	7	13	17.30	75.50	0.90	25.47	100.00	5.45	10.11	37.76	0.00
3117	2005	7	14	16.22	77.80	0.83	24.37	100.00	4.70	8.44	41.27	0.00
3118	2005	7	15	16.70	78.60	1.27	25.14	100.00	6.95	8.76	40.58	0.00
3119	2005	7	16	19.26	70.70	1.57	27.78	100.00	7.70	10.28	34.13	0.00
3120	2005	7	17	18.96	79.70	2.26	25.74	98.50	12.20	13.46	47.13	0.00
3121	2005	7	18	14.85	91.80	1.04	17.50	100.00	4.70	12.59	77.50	0.00
3122	2005	7	19	14.69	87.60	1.48	19.08	100.00	6.95	12.12	64.95	0.00
3123	2005	7	20	15.66	85.00	1.76	22.87	100.00	8.45	8.81	55.65	0.00
3124	2005	7	21	17.94	84.80	1.03	26.03	100.00	5.45	10.34	53.62	0.20
3125	2005	7	22	20.45	80.90	1.07	28.87	100.00	6.95	13.60	45.35	0.00
3126	2005	7	23	21.62	75.10	1.21	29.38	100.00	6.95	14.49	42.40	0.00
3127	2005	7	24	18.44	91.40	1.43	23.93	100.00	7.70	13.80	71.80	0.00
3128	2005	7	25	16.52	90.00	1.08	21.21	100.00	6.95	11.10	60.30	7.40
3129	2005	7	26	14.21	78.20	0.71	22.12	100.00	5.45	6.14	38.99	0.10
3130	2005	7	27	14.13	95.10	0.82	19.93	100.00	6.95	9.41	70.20	0.30
3131	2005	7	28	17.97	83.90	0.64	27.37	100.00	4.70	10.10	45.22	0.10
3132	2005	7	29	19.40	76.00	0.98	29.45	100.00	6.20	12.26	28.56	0.00
3133	2005	7	30	19.64	71.30	0.84	27.71	100.00	5.45	11.53	32.39	0.00
3134	2005	7	31	19.06	71.50	1.14	28.11	100.00	5.45	10.64	32.59	0.00
