registro	ano	mes	dia	tmed	urmed	vento	tmax	urmax	ventomax	tmin	urmin	chuva
145	1997	5	25	15.65	95.17	1.58	18.60	100.00	11.45	13.79	82.94	14.80
146	1997	5	26	15.81	82.54	1.37	22.46	100.00	6.95	9.76	48.38	0.00
147	1997	5	27	16.56	83.86	0.58	24.97	100.00	7.70	9.17	46.47	0.10
148	1997	5	28	16.76	95.12	1.58	19.06	100.00	10.70	13.46	82.42	11.90
149	1997	5	29	16.35	83.64	1.49	21.69	100.00	7.70	12.56	51.40	0.10
150	1997	5	30	14.47	84.01	1.58	20.13	100.00	7.70	9.52	52.49	0.00
151	1997	5	31	14.37	82.07	2.62	20.50	100.00	9.20	9.27	51.81	0.00
152	1997	6	1	14.13	78.58	2.44	20.96	100.00	9.20	8.39	41.12	0.00
153	1997	6	2	14.12	77.06	0.75	22.86	100.00	4.70	5.85	39.50	0.00
154	1997	6	3	13.07	92.02	0.82	18.47	100.00	5.45	7.67	64.07	2.90
155	1997	6	4	15.09	99.00	0.63	18.49	100.00	6.95	12.77	85.85	12.00
156	1997	6	5	15.36	99.00	1.16	16.28	100.00	8.45	14.53	98.57	50.80
157	1997	6	6	16.75	95.17	1.81	20.55	100.00	8.45	14.33	73.59	0.60
158	1997	6	7	15.15	78.59	2.03	19.75	100.00	9.20	9.88	41.80	0.00
159	1997	6	8	10.27	67.99	2.30	15.92	96.57	9.20	4.95	39.61	0.00
160	1997	6	9	11.16	79.69	0.88	19.65	100.00	4.70	3.43	43.41	0.00
161	1997	6	10	13.04	77.80	0.64	23.59	100.00	4.70	5.11	31.44	0.10
162	1997	6	11	14.75	82.61	1.48	26.15	100.00	10.70	6.27	36.00	5.20
163	1997	6	12	17.83	88.80	1.20	23.55	100.00	7.70	14.07	61.14	5.40
164	1997	6	13	18.09	86.01	1.04	26.72	100.00	6.20	11.62	42.64	0.10
165	1997	6	14	16.50	96.70	1.03	22.02	100.00	12.20	14.37	68.90	14.60
166	1997	6	15	16.42	99.23	0.84	18.71	100.00	6.20	14.71	86.52	8.70
167	1997	6	16	15.50	81.15	1.87	20.72	100.00	9.20	10.98	48.31	0.00
168	1997	6	17	14.37	86.06	0.79	19.72	100.00	3.95	8.00	57.72	0.00
169	1997	6	18	17.63	78.88	0.53	23.77	97.76	4.70	13.53	54.21	0.00
170	1997	6	19	20.30	78.86	1.48	28.30	100.00	9.20	12.86	47.41	0.00
171	1997	6	20	16.64	96.84	1.09	20.70	100.00	9.20	14.19	81.34	7.90
172	1997	6	21	20.27	85.42	1.28	28.55	100.00	7.70	13.49	51.10	0.10
173	1997	6	22	21.57	78.30	1.20	28.47	100.00	6.95	15.21	48.69	0.00
174	1997	6	23	20.63	75.10	1.42	28.98	100.00	13.70	13.24	43.04	0.00
175	1997	6	24	19.89	76.74	1.20	27.78	100.00	6.20	12.92	44.12	0.00
176	1997	6	25	19.19	78.57	1.01	27.81	100.00	3.95	12.14	40.29	0.00
177	1997	6	26	19.79	70.17	0.96	27.71	100.00	7.70	11.73	32.64	0.00
178	1997	6	27	18.40	81.51	1.23	24.87	100.00	5.45	13.07	53.61	0.00
179	1997	6	28	18.68	89.22	0.70	24.29	100.00	3.95	15.07	62.81	0.20
180	1997	6	29	18.53	91.97	0.91	23.83	100.00	6.20	15.57	65.36	0.00
181	1997	6	30	16.34	93.11	1.26	23.26	100.00	8.45	13.94	63.43	0.00
182	1997	7	1	17.15	84.11	1.03	21.64	97.31	4.70	13.82	65.45	0.00
183	1997	7	2	18.81	78.75	0.97	27.18	100.00	7.70	12.91	38.88	0.00
184	1997	7	3	20.75	65.09	1.50	27.81	95.08	10.70	14.24	33.85	0.00
185	1997	7	4	20.20	70.57	1.65	26.06	91.83	9.95	15.25	48.96	0.00
186	1997	7	5	18.11	76.73	2.38	24.26	100.00	9.20	13.14	47.02	0.00
187	1997	7	6	17.97	81.80	0.52	26.17	100.00	6.20	11.19	49.57	0.00
